epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9588,1.94868,4.7313,2.19956,0,0,0,0,2.3361,4.36829,1.81254,2.78e-06,2.78e-06,2.78e-06
2,28.2536,1.87596,4.69187,2.20763,0,0,0,0,2.29977,4.36355,1.79551,8.17487e-06,8.17487e-06,8.17487e-06
3,40.8529,2.27848,4.76791,2.48514,0,0,0,0,2.31666,4.36632,1.81131,1.33496e-05,1.33496e-05,1.33496e-05
4,55.455,2.11205,4.70669,2.30935,0,0,0,0,2.28869,4.36235,1.80917,1.83041e-05,1.83041e-05,1.83041e-05
5,68.7691,2.10811,4.84689,2.34787,0,0,0,0,2.28187,4.35916,1.79728,2.30384e-05,2.30384e-05,2.30384e-05
6,82.3877,1.93197,4.7756,2.12061,0,0,0,0,2.2548,4.36189,1.78927,2.75526e-05,2.75526e-05,2.75526e-05
7,96.1406,1.93236,4.56986,2.3143,0,0,0,0,2.24341,4.36261,1.7845,3.18466e-05,3.18466e-05,3.18466e-05
8,109.813,1.78679,4.73277,2.17029,0,0,0,0,2.2222,4.37036,1.77844,3.59204e-05,3.59204e-05,3.59204e-05
9,122.795,2.03097,4.80982,2.37754,0,0,0,0,2.21283,4.37142,1.77845,3.9774e-05,3.9774e-05,3.9774e-05
10,135.233,1.74252,4.67262,2.04756,0,0,0,0,2.17362,4.37562,1.76474,4.34075e-05,4.34075e-05,4.34075e-05
11,148.229,1.93971,4.59461,2.06386,0,0,0,0,2.16495,4.37272,1.75583,4.68208e-05,4.68208e-05,4.68208e-05
12,161.269,1.7262,4.56995,2.05944,0,0,0,0,2.13825,4.37403,1.75463,5.00139e-05,5.00139e-05,5.00139e-05
13,174.163,1.79515,4.78967,2.07747,0,0,0,0,2.1217,4.38087,1.75586,5.29868e-05,5.29868e-05,5.29868e-05
14,187.202,1.76441,4.63773,2.08536,0,0,0,0,2.10347,4.38907,1.75505,5.57396e-05,5.57396e-05,5.57396e-05
15,199.786,1.53075,4.43126,1.85163,0,0,0,0,2.08084,4.3958,1.75165,5.82721e-05,5.82721e-05,5.82721e-05
16,213.472,1.72078,4.5844,1.96815,0,0,0,0,2.05904,4.40317,1.75276,6.05845e-05,6.05845e-05,6.05845e-05
17,226.852,1.84963,4.58909,2.04287,0,0,0,0,2.04219,4.4162,1.76337,6.26768e-05,6.26768e-05,6.26768e-05
18,240.094,1.6211,4.46672,1.9081,0,0,0,0,2.0582,4.43156,1.78486,6.45488e-05,6.45488e-05,6.45488e-05
19,253.263,1.54663,4.57486,1.92462,0,0,0,0,2.05749,4.44635,1.78716,6.62007e-05,6.62007e-05,6.62007e-05
20,265.739,1.57954,4.41628,1.84288,0,0,0,0,2.0473,4.452,1.77931,6.76324e-05,6.76324e-05,6.76324e-05
21,279.517,1.5006,4.57971,1.8507,0,0,0,0,2.05109,4.45208,1.77912,6.88439e-05,6.88439e-05,6.88439e-05
22,293.115,1.51528,4.32192,1.73444,0,0,0,0,2.05107,4.45485,1.77854,6.98353e-05,6.98353e-05,6.98353e-05
23,305.667,1.35088,4.35721,1.66086,0,0,0,0,2.05309,4.46618,1.78943,7.06064e-05,7.06064e-05,7.06064e-05
24,318.448,1.37252,4.29705,1.77452,0,0,0,0,2.05298,4.47082,1.80177,7.11574e-05,7.11574e-05,7.11574e-05
25,331.397,1.42523,4.56434,1.84756,0,0,0,0,2.02555,4.47387,1.78505,7.14883e-05,7.14883e-05,7.14883e-05
26,343.352,1.36308,4.15712,1.58789,0,0,0,0,2.01724,4.47541,1.76999,7.15989e-05,7.15989e-05,7.15989e-05
27,356.338,1.25248,4.16259,1.60607,0,0,0,0,1.99616,4.47901,1.75993,7.14894e-05,7.14894e-05,7.14894e-05
28,369.108,1.41263,4.19443,1.73288,0,0,0,0,1.99616,4.47901,1.75993,7.11597e-05,7.11597e-05,7.11597e-05
29,382.18,1.21373,4.17773,1.58067,0,0,0,0,1.99056,4.483,1.76139,7.06098e-05,7.06098e-05,7.06098e-05
30,395.123,1.34606,4.23463,1.64322,0,0,0,0,1.98341,4.48235,1.75892,6.98397e-05,6.98397e-05,6.98397e-05
31,407.352,1.40326,4.64718,1.84639,0,0,0,0,1.98341,4.48235,1.75892,6.88495e-05,6.88495e-05,6.88495e-05
32,420.361,1.14425,3.9926,1.50525,0,0,0,0,1.95825,4.48562,1.75443,6.76391e-05,6.76391e-05,6.76391e-05
33,433.14,1.55031,4.22228,1.74273,0,0,0,0,1.93835,4.48341,1.74446,6.62085e-05,6.62085e-05,6.62085e-05
34,445.505,1.28865,4.11198,1.60469,0,0,0,0,1.93835,4.48341,1.74446,6.45577e-05,6.45577e-05,6.45577e-05
35,457.849,1.14651,4.24834,1.60003,0,0,0,0,1.93754,4.48826,1.74924,6.26868e-05,6.26868e-05,6.26868e-05
36,469.739,1.38597,4.23066,1.82466,0,0,0,0,1.91555,4.4934,1.74061,6.05957e-05,6.05957e-05,6.05957e-05
37,481.991,1.14688,3.90774,1.52963,0,0,0,0,1.91555,4.4934,1.74061,5.82844e-05,5.82844e-05,5.82844e-05
38,495.016,1.108,3.92286,1.48812,0,0,0,0,1.89538,4.49239,1.72801,5.57529e-05,5.57529e-05,5.57529e-05
39,507.982,1.20583,4.12141,1.61274,0,0,0,0,1.89734,4.48996,1.72782,5.30013e-05,5.30013e-05,5.30013e-05
40,520.635,1.2394,3.96718,1.51796,0,0,0,0,1.89734,4.48996,1.72782,5.00294e-05,5.00294e-05,5.00294e-05
41,533.448,1.2825,4.70794,1.61622,0,0,0,0,1.90904,4.49574,1.73861,4.68374e-05,4.68374e-05,4.68374e-05
42,545.651,1.48831,4.83204,1.9057,0,0,0,0,1.90476,4.49442,1.73426,4.34253e-05,4.34253e-05,4.34253e-05
43,557.463,1.285,4.31019,1.84724,0,0,0,0,1.90476,4.49442,1.73426,3.97929e-05,3.97929e-05,3.97929e-05
44,570.09,1.28026,4.44264,1.81466,0,0,0,0,1.90665,4.49624,1.73777,3.59404e-05,3.59404e-05,3.59404e-05
45,582.718,1.22962,4.57502,1.65814,0,0,0,0,1.90665,4.49624,1.73777,3.18677e-05,3.18677e-05,3.18677e-05
46,595.243,1.04612,4.30421,1.60458,0,0,0,0,1.92785,4.48481,1.74425,2.75748e-05,2.75748e-05,2.75748e-05
47,607.822,1.25539,4.11805,1.78559,0,0,0,0,1.92785,4.48481,1.74425,2.30618e-05,2.30618e-05,2.30618e-05
48,619.996,1.30695,4.58513,1.89934,0,0,0,0,1.94336,4.48059,1.74814,1.83285e-05,1.83285e-05,1.83285e-05
49,632.702,1.0467,4.42118,1.42839,0,0,0,0,1.94336,4.48059,1.74814,1.33751e-05,1.33751e-05,1.33751e-05
50,645.002,1.36641,4.66067,1.98017,0,0,0,0,1.95542,4.47578,1.75335,8.20156e-06,8.20156e-06,8.20156e-06
